one, two, three, four, five, six, seve, eight, nine, ten, eleven
50,50,50,50,50,50,50,50,50,50,50
200,200,200,400,200,200,200,100,200,200,200
150,150,150,150,300,150,150,150,100,150,150
300,300,300,300,300,300,300,300,300,300,300
75,75,75,75,75,75,75,75,75,50,75
300,300,300,600,300,300,300,150,300,200,300
225,225,225,225,450,225,225,225,150,150,225
450,450,450,450,450,450,450,450,450,300,450
1,1,1,1,1,1,1,1,1,1,1
150,150,150,150,150,150,150,150,150,150,150
7,7,7,7,7,7,7,7,7,7,7
3,3,3,3,3,3,3,3,3,3,3
21,21,21,21,21,21,21,21,21,21,21
42,42,42,42,42,42,42,42,42,42,42
3,3,3,3,3,3,3,3,3,3,3
1260000,5040000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000,1260000
70,70,140,70,70,70,70,70,70,70,70
105,105,210,105,105,105,105,105,105,70,105
20,20,20,20,20,20,20,20,20,20,100
3,3,3,3,3,3,3,3,3,3,3
8,8,8,8,8,8,8,8,8,8,8
3,3,3,3,3,3,3,3,3,2,3
8,8,8,8,8,8,8,8,8,7,8
100,100,100,100,100,100,100,100,100,100,100
0,0,0,0,0,0,50,0,0,0,0
100,100,100,100,100,100,100,100,100,100,100
10,1,10,10,10,10,10,10,10,8,10
670,786,709,4390,700,214,686,233,592,214,1919
596,786,649,3992,629,192,619,215,557,192,1741
629.2,786,683,4163.5,670,204.6,656,221.9,569.4,208.125,1850.9
20.5145,0,16.7597,122.141,22.3209,5.83476,22.891,5.30094,13.201,7.0799,54.4109
211,218,225,606,259,214,211,145,171,214,267
189,218,197,570,242,192,194,126,153,191,239
202.5,218,210.4,588,251.4,204.6,200.6,134.6,161.8,204.625,247.1
5.75905,0,7.51591,12.0738,6.60303,5.83476,6.46701,6.9634,7.08363,7.81825,9.10982
670,786,709,4368,700,0,686,232,592,191,1919
592,786,649,3974,629,0,619,214,553,152,1739
628.2,786,682.4,4145,667.4,0,655.1,221.6,568.9,171.125,1850.3
21.0175,0,16.814,121.672,22.9308,0,23.5252,5.27468,13.5683,11.7891,54.5039
30368,28199,36549,87078,48658,668690,32949,16057,19257,78627,36739
21706,28199,23403,73350,30318,628666,22578,12278,15105,37721,28618
25784.4,28199,27492.3,80635.9,36081.6,648585,25840.9,14184,17090.4,60979.5,31413.1
2970.48,0,4194.32,4511.59,5000.72,12402.2,3542.81,1131.87,1289.6,13420,2412.71
30368,28199,36549,87078,48658,668690,20902,16057,19257,78627,36739
21706,28199,23403,73350,30318,628666,14029,12278,15105,37721,28618
25784.4,28199,27492.3,80635.9,36081.6,648585,16204.4,14184,17090.4,60979.5,31413.1
2970.48,0,4194.32,4511.59,5000.72,12402.2,2215.82,1131.87,1289.6,13420,2412.71
803273,3095307,815883,789613,926441,0,833246,809431,712770,643501,809018
774074,3095307,742989,727549,869833,0,779333,776010,661655,560710,751714
792348,3095310,786868,757785,896344,0,813609,797033,688073,601932,781103
10368.5,0,22109.2,17238.9,14432.6,0,17159.4,11477.5,16308.4,25623.1,15378.2
11253,29956,12255,3369,15361,16302,12087,20638,9172,15670,10535
8506,29956,6836,1619,9651,12543,7973,16622,6212,11272,6393
9982.8,29956,9678.2,2514.4,12009.5,14282,10369.5,18957.5,7638.7,13545.5,7900.6
814.485,0,1591.7,532.547,1494.59,1189.14,1366.28,1387.71,926.861,1639.26,1118.33
282,243,310,335,324,0,313,272,237,1539,322
174,243,191,253,216,0,170,168,163,465,209
225.9,243,245.5,299.8,269.5,0,236.6,206.3,195.2,868.125,246
39.3515,0,38.7248,28.8706,32.2154,0,42.5368,42.206,23.7945,341.524,34.3479
142,127,172,125,206,0,158,122,115,991,128
87,127,92,104,103,0,94,77,81,298,81
112.2,127,119.5,115.4,129.8,0,114.6,105.4,96,536,103.1
19.1648,0,26.7634,6.55235,30.0622,0,23.6041,14.5465,13.325,224.575,13.0593
0.094687,0.035384,0.103948,0.327874,0.10006,0.052465,0.087016,0.064624,0.089973,0.039002,0.179844
0.055771,0.035384,0.061929,0.272796,0.06813,0.003726,0.050584,0.023727,0.041383,0.004437,0.13815
0.069814,0.035384,0.078419,0.301035,0.084078,0.019877,0.07044,0.033943,0.060208,0.015636,0.162979
0.014507,0,0.013423,0.016749,0.009711,0.017283,0.011523,0.013224,0.013198,0.013671,0.013847
0.661302,0.619743,0.667125,0.684892,0.761945,0.530707,0.675497,0.653489,0.579368,0.54294,0.66697
0.634401,0.619743,0.608248,0.641498,0.717063,0.498942,0.630247,0.628625,0.539363,0.503333,0.625757
0.649312,0.619743,0.646318,0.665414,0.740021,0.514751,0.658583,0.643824,0.559654,0.526122,0.644855
0.008127,0,0.017125,0.012151,0.011389,0.009843,0.013595,0.008664,0.012509,0.014359,0.010902
0.096997,0.021956,0.105734,0.550732,0.131558,1,0.106506,0.040765,0.070095,0.173174,0.254059
0.060677,0.021956,0.07353,0.48821,0.089861,1,0.057189,0.024421,0.046617,0.065851,0.148172
0.076605,0.021956,0.089489,0.523838,0.106456,1,0.081514,0.030076,0.05698,0.109493,0.194516
